# Nx1 = 64
# x1-size = 1
# Nx2 = 64
# x2-size = 1
# PRIMITIVE vars at Time = 4.00289, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=V1 [7]=V2 [8]=V3 [9]=P
 27  4 3.67187500e-01 7.81250000e-03 1.91931587e+00 -3.04731492e-01 1.03883801e-03 0.00000000e+00 9.34448334e-01
 28  4 3.82812500e-01 7.81250000e-03 1.91929237e+00 -3.05214597e-01 1.01023856e-03 0.00000000e+00 9.34429570e-01
 29  4 3.98437500e-01 7.81250000e-03 1.91943364e+00 -3.05664919e-01 9.83216119e-04 0.00000000e+00 9.34545961e-01
 30  4 4.14062500e-01 7.81250000e-03 1.91988592e+00 -3.05979095e-01 9.64676821e-04 0.00000000e+00 9.34914628e-01
 31  4 4.29687500e-01 7.81250000e-03 1.92050403e+00 -3.06211601e-01 9.38973000e-04 0.00000000e+00 9.35416593e-01
 32  4 4.45312500e-01 7.81250000e-03 1.92129620e+00 -3.06346960e-01 9.31553925e-04 0.00000000e+00 9.36060307e-01
 33  4 4.60937500e-01 7.81250000e-03 1.92232247e+00 -3.06370118e-01 9.24802692e-04 0.00000000e+00 9.36893705e-01
 34  4 4.76562500e-01 7.81250000e-03 1.92339533e+00 -3.06294261e-01 9.24302138e-04 0.00000000e+00 9.37764595e-01
 35  4 4.92187500e-01 7.81250000e-03 1.92462845e+00 -3.06105044e-01 9.22636007e-04 0.00000000e+00 9.38765068e-01
 36  4 5.07812500e-01 7.81250000e-03 1.92603368e+00 -3.05785924e-01 9.14613893e-04 0.00000000e+00 9.39904841e-01
 37  4 5.23437500e-01 7.81250000e-03 1.92765052e+00 -3.05319381e-01 8.90830302e-04 0.00000000e+00 9.41216946e-01
 38  4 5.39062500e-01 7.81250000e-03 1.92939752e+00 -3.04730846e-01 8.50141481e-04 0.00000000e+00 9.42636468e-01
 39  4 5.54687500e-01 7.81250000e-03 1.93110554e+00 -3.04072109e-01 7.92710523e-04 0.00000000e+00 9.44025209e-01
 40  4 5.70312500e-01 7.81250000e-03 1.93263711e+00 -3.03394014e-01 7.21896558e-04 0.00000000e+00 9.45270853e-01
 41  4 5.85937500e-01 7.81250000e-03 1.93385896e+00 -3.02726689e-01 6.55922396e-04 0.00000000e+00 9.46265149e-01
 42  4 6.01562500e-01 7.81250000e-03 1.93475750e+00 -3.02085682e-01 6.05862130e-04 0.00000000e+00 9.46995682e-01
 43  4 6.17187500e-01 7.81250000e-03 1.93526234e+00 -3.01458041e-01 5.76441234e-04 0.00000000e+00 9.47403966e-01
 44  4 6.32812500e-01 7.81250000e-03 1.93541524e+00 -3.00798059e-01 5.64899682e-04 0.00000000e+00 9.47526934e-01
 45  4 6.48437500e-01 7.81250000e-03 1.93526604e+00 -3.00130399e-01 5.88981683e-04 0.00000000e+00 9.47404206e-01
